variable_name,source,original_name,N_nonmissing,pct_missing,is_numeric,mean,sd,label
case_id,key,case_id,60016,0,FALSE,"","",""
c2360_f2a_2360_month_coding_completed,c2360,f2a_2360_month_coding_completed,57672,3.91,TRUE,6.8513,6.5223,F2a_2360_Month coding completed
c2360_f2b_2360_day_coding_completed,c2360,f2b_2360_day_coding_completed,57672,3.91,TRUE,15.9684,10.2417,F2b_2360_Day coding completed
c2360_f2c_2360_year_coding_completed,c2360,f2c_2360_year_coding_completed,57672,3.91,TRUE,64.1582,2.4931,F2c_2360_Year coding completed
c2360_f2d_2360_why_coding_not_complete,c2360,f2d_2360_why_coding_not_complete,57672,3.91,TRUE,0.0506,0.2192,F2d_2360_Why coding not complete
c2360_f2e_2360_study_record_coded,c2360,f2e_2360_study_record_coded,57672,3.91,TRUE,2.7463,0.9681,F2e_2360_Study record coded
c2360_f2f_2360_edit_code,c2360,f2f_2360_edit_code,57672,3.91,TRUE,1.8985,0.3021,F2f_2360_Edit code
c2360_f2g_2360_history_of_hypertension,c2360,f2g_2360_history_of_hypertension,57672,3.91,TRUE,0.4484,1.3533,F2g_2360_History of hypertension
c2360_f2h_2360_toxemia_screen,c2360,f2h_2360_toxemia_screen,57672,3.91,TRUE,1.0033,1.062,F2h__2360_Toxemia screen
c2360_f14a_outcome_of_preg1,c2360,f14a_outcome_of_preg1,57672,3.91,TRUE,0.3737,1.5983,F14a_Outcome of preg1
c2360_f14b_outcome_of_preg2,c2360,f14b_outcome_of_preg2,57672,3.91,TRUE,0.3972,1.7946,F14b_Outcome of preg2
c2360_f15_complications_of_puerperium,c2360,f15_complications_of_puerperium,57672,3.91,TRUE,0.4202,1.6847,F15_Complications of puerperium
c2360_f16_infectious_diseases_during_preg,c2360,f16_infectious_diseases_during_preg,57672,3.91,TRUE,0.3308,1.2972,F16_Infectious diseases during preg
c2360_albuminuria,c2360,albuminuria,57672,3.91,TRUE,3078920967.7759,11225361584.7127,Albuminuria -
c2360_f17_disease_not_otherwise_specified,c2360,f17_disease_not_otherwise_specified,57672,3.91,TRUE,0.4611,0.9644,F17_Disease not otherwise specified
c2360_f18_special_studies,c2360,f18_special_studies,57672,3.91,TRUE,0.1636,0.4562,F18_Special studies
c2360_f19_total_number_diseases,c2360,f19_total_number_diseases,57672,3.91,TRUE,3.5113,2.679,F19_Total number diseases
c2360_f20a_1st_disease_condition,c2360,f20a_1st_disease_condition,52899,11.86,TRUE,79.0296,42.3544,F20a_1st disease_condition
c2360_f20b_1st_disease_time_occur,c2360,f20b_1st_disease_time_occur,52899,11.86,TRUE,2.3029,1.5296,F20b_1st disease_time occur
c2360_f21a_2nd_disease_condition,c2360,f21a_2nd_disease_condition,44448,25.94,TRUE,101.8749,42.5097,F21a_2nd disease_condition
c2360_anesthesia_during,c2360,anesthesia_during,44448,25.94,TRUE,4.4389,3.1194,Anesthesia During
c2360_f21b_2nd_disease_time_occur,c2360,f21b_2nd_disease_time_occur,44448,25.94,TRUE,2.1862,1.3071,F21b_2nd disease_time occur
c2360_f21c_3rd_disease_condition,c2360,f21c_3rd_disease_condition,34376,42.72,TRUE,118.1557,38.5098,F21c_3rd disease_condition
c2360_f21d_3rd_disease_time_occur,c2360,f21d_3rd_disease_time_occur,34376,42.72,TRUE,2.1442,1.3021,F21d_3rd disease_time occur
c2360_f21e_4th_disease_condition,c2360,f21e_4th_disease_condition,24665,58.9,TRUE,127.5869,35.4198,F21e_4th disease_condition
c2360_f21f_4th_disease_time_occur,c2360,f21f_4th_disease_time_occur,24665,58.9,TRUE,2.1774,1.2952,F21f_4th disease_time occur
c2360_f21g_5th_disease_condition,c2360,f21g_5th_disease_condition,16784,72.03,TRUE,133.6876,33.2773,F21g_5th disease_condition
c2360_f21h_5th_disease_time_occur,c2360,f21h_5th_disease_time_occur,16784,72.03,TRUE,2.1966,1.3137,F21h_5th disease_time occur
c2360_f21i_6th_disease_condition,c2360,f21i_6th_disease_condition,10959,81.74,TRUE,138.3401,31.3003,F21i_6th disease_condition
c2360_f21j_6th_disease_time_occur,c2360,f21j_6th_disease_time_occur,10959,81.74,TRUE,2.2298,1.3423,F21j_6th disease_time occur
c2360_f21k_7th_disease_condition,c2360,f21k_7th_disease_condition,6891,88.52,TRUE,141.1368,29.6,F21k_7th disease_condition
c2360_f21l_7th_disease_time_occur,c2360,f21l_7th_disease_time_occur,6891,88.52,TRUE,2.2464,1.3529,F21l_7th disease_time occur
c2360_f21m_8th_disease_condition,c2360,f21m_8th_disease_condition,4337,92.77,TRUE,143.9442,28.3784,F21m_8th disease_condition
c2360_f21n_8th_disease_time_occur,c2360,f21n_8th_disease_time_occur,4337,92.77,TRUE,2.311,1.4176,F21n_8th disease_time occur
c2360_f21o_9th_disesse_condition,c2360,f21o_9th_disesse_condition,2623,95.63,TRUE,144.8757,27.1418,F21o_9th disesse_condition
c2360_f21p_9th_disease_time_occur,c2360,f21p_9th_disease_time_occur,2623,95.63,TRUE,2.3481,1.4384,F21p_9th disease_time occur
c1360_f5a_1360_month_coding_completed,c1360,f5a_1360_month_coding_completed,57668,3.91,TRUE,6.8512,6.5225,F5a_1360_Month coding completed
c1360_f5b_1360_day_coding_completed,c1360,f5b_1360_day_coding_completed,57668,3.91,TRUE,15.9661,10.2359,F5b_1360_Day coding completed
c1360_f5c_1360_year_coding_completed,c1360,f5c_1360_year_coding_completed,57668,3.91,TRUE,64.1586,2.4948,F5c_1360_Year coding completed
c1360_f6_1360_why_coding_not_complete,c1360,f6_1360_why_coding_not_complete,57668,3.91,TRUE,0.0507,0.2196,F6_1360_Why coding not complete
c1360_f7_1360_study_record_coded_with,c1360,f7_1360_study_record_coded_with,57668,3.91,TRUE,2.7461,0.9678,F7_1360_Study record coded with
c1360_f8_1360_edit_code,c1360,f8_1360_edit_code,57668,3.91,TRUE,1.8983,0.3022,F8_1360_Edit code
c1360_f9_1360_history_of_hypertension,c1360,f9_1360_history_of_hypertension,57668,3.91,TRUE,0.4489,1.3537,F9_1360_History of hypertension
c1360_f10_1360_toxemia_screen,c1360,f10_1360_toxemia_screen,57668,3.91,TRUE,1.0035,1.0614,F10_1360_Toxemia screen
c1360_f11a_bp_low_up_to_24th_wk,c1360,f11a_bp_low_up_to_24th_wk,57668,3.91,TRUE,0.2225,1.2289,F11a_BP low_up to 24th wk
c1360_f11b_bp_low_24th_wk_to_labor,c1360,f11b_bp_low_24th_wk_to_labor,57668,3.91,TRUE,0.3876,1.3571,F11b_BP low_24th wk to labor
c1360_f11c_bp_low_intra_partum,c1360,f11c_bp_low_intra_partum,57668,3.91,TRUE,0.5793,1.5338,F11c_BP low_Intra partum
c1360_f11d_bp_low_post_partum,c1360,f11d_bp_low_post_partum,57668,3.91,TRUE,0.5914,1.6078,F11d_BP low_post partum
c1360_f12c_bp_high_intra_partum,c1360,f12c_bp_high_intra_partum,57668,3.91,TRUE,0.3337,1.5248,F12c_BP high_Intra partum
c1360_f13a_bp_rise_up_to_24th_wk,c1360,f13a_bp_rise_up_to_24th_wk,57668,3.91,TRUE,0.2351,1.2307,F13a_BP rise_ up to 24th wk
c1360_f13b_bp_rise_24th_wk_to_labor,c1360,f13b_bp_rise_24th_wk_to_labor,57668,3.91,TRUE,0.5645,1.3602,F13b_BP rise_24th wk to labor
c1360_f13c_bp_rise_intra_partum,c1360,f13c_bp_rise_intra_partum,57668,3.91,TRUE,0.6756,1.5237,F13c_BP rise_Intra partum
c1360_f13d_bp_rise_post_partum,c1360,f13d_bp_rise_post_partum,57668,3.91,TRUE,0.7221,1.6572,F13d_BP rise_post partum
c1360_f14a_proteinuria_low_up_to_24th_wk,c1360,f14a_proteinuria_low_up_to_24th_wk,57668,3.91,TRUE,0.2015,1.223,F14a_Proteinuria low_up to 24th wk
c1360_f14b_proteinuria_low_24th_wk_to_labor,c1360,f14b_proteinuria_low_24th_wk_to_labor,57668,3.91,TRUE,0.3268,1.3512,F14b_Proteinuria low_24th wk to labor
c1360_f14c_proteinuria_low_intra_partum,c1360,f14c_proteinuria_low_intra_partum,57668,3.91,TRUE,0.3185,1.5226,F14c_Proteinuria low_Intra partum
c1360_f14d_proteinuria_low_post_partum,c1360,f14d_proteinuria_low_post_partum,57668,3.91,TRUE,0.3066,1.533,F14d_Proteinuria low_post partum
c1360_f15a_proteinuria_high_up_to_24th_wk,c1360,f15a_proteinuria_high_up_to_24th_wk,57668,3.91,TRUE,0.1699,1.2148,F15a_Proteinuria high_up to 24th wk
