varname,item_id,field_width,section,sentinel_codes,sentinel_meanings,sentinel_n,sentinel_pct,max_sentinel_pct,n_total
motor_activity_neonate_rev_2,6017,1,Neonatal Neurological,8,8=not ascertained,54282,99.1,99.0619753266662,54796
coombs_test,5225,1,Obstetric Measures,9,9=unknown/not ascertained,55756,96.6,96.5689246064049,57737
apgar_heart_rate_20_min,6007,1,Apgar Scores,9,9=unknown/not ascertained,50982,95.3,95.3344428445874,53477
apgar_respiratory_effort_20_min,6008,1,Apgar Scores,9,9=unknown/not ascertained,50981,95.3,95.3325728817997,53477
apgar_muscle_tone_20_min,6009,1,Apgar Scores,9,9=unknown/not ascertained,50979,95.3,95.3288329562242,53477
apgar_reflex_irritability_20_min,6010,1,Apgar Scores,9,9=unknown/not ascertained,50979,95.3,95.3288329562242,53477
apgar_color_20_min,6011,1,Apgar Scores,9,9=unknown/not ascertained,50979,95.3,95.3288329562242,53477
apgar_total_20_min_score,6012,2,Apgar Scores,99,99=unknown,50978,95.3,95.3269629934364,53477
apgar_total_20_min_code,6013,1,Apgar Scores,9,9=unknown/not ascertained,50978,95.3,95.3269629934364,53477
cesarean_section_delivery_of_head,6107,1,Delivery Procedures,8,8=not ascertained,54347,94.6,94.6086623494186,57444
cesarean_section_uterine_incision_type,6108,1,Delivery Procedures,8,8=not ascertained,54347,94.6,94.6086623494186,57444
apgar_heart_rate_15_min,6000,1,Apgar Scores,9,9=unknown/not ascertained,50306,94.1,94.0703480000748,53477
apgar_reflex_irritability_15_min,6003,1,Apgar Scores,9,9=unknown/not ascertained,50298,94.1,94.0553882977729,53477
apgar_color_15_min,6004,1,Apgar Scores,9,9=unknown/not ascertained,50298,94.1,94.0553882977729,53477
apgar_respiratory_effort_15_min,6001,1,Apgar Scores,9,9=unknown/not ascertained,50297,94.1,94.0535183349851,53477
apgar_muscle_tone_15_min,6002,1,Apgar Scores,9,9=unknown/not ascertained,50297,94.1,94.0535183349851,53477
apgar_total_15_min_score,6005,2,Apgar Scores,99,99=unknown,50296,94.1,94.0516483721974,53477
apgar_total_15_min_code,6006,1,Apgar Scores,9,9=unknown/not ascertained,50296,94.1,94.0516483721974,53477
cesarean_section_previous_internal_versi,6111,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,51742; 2580,90.1; 4.5,90.1051825020897,57424
apgar_heart_rate_10_min,5993,1,Apgar Scores,9,9=unknown/not ascertained,47025,87.9,87.9350000934981,53477
apgar_color_10_min,5997,1,Apgar Scores,9,9=unknown/not ascertained,47025,87.9,87.9350000934981,53477
apgar_reflex_irritability_10_min,5996,1,Apgar Scores,9,9=unknown/not ascertained,47024,87.9,87.9331301307104,53477
apgar_muscle_tone_10_min,5995,1,Apgar Scores,9,9=unknown/not ascertained,47023,87.9,87.9312601679227,53477
apgar_respiratory_effort_10_min,5994,1,Apgar Scores,9,9=unknown/not ascertained,47022,87.9,87.9293902051349,53477
apgar_total_10_min,5998,2,Apgar Scores,99,99=unknown,47016,87.9,87.9181704284085,53477
apgar_total_10_min_code,5999,1,Apgar Scores,9,9=unknown/not ascertained,47016,87.9,87.9181704284085,53477
consanguinity_of_gravida_and_fath_col287,5185,1,Consanguinity,8,8=not ascertained,42498,76.6,76.6489313734331,55445
consanguinity_of_gravidas_parents_revisi,5186,1,Consanguinity,8,8=not ascertained,42486,76.6,76.6272883037244,55445
rupture_of_membranes_interval_ina_col1457,6162,4,Delivery Procedures,9999,9999=unknown,41244,76.1,76.0510399763977,54232
rupture_of_membranes_interval_ina_col1461,6163,2,Delivery Procedures,99,99=unknown,41244,76.1,76.0510399763977,54232
acetonuria,5222,1,Obstetric Measures,9,9=unknown/not ascertained,36267,63.0,63.0062021160161,57561
labor_onset_type,6041,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,35455; 715,61.7; 1.2,61.729577268612,57436
toxemia_hypertension_chronic,6060,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,35455; 719,61.7; 1.3,61.729577268612,57436
occupation_of_gravidas_father_or_head_of,5235,2,Delivery Procedures,88; 99,88=not applicable/no prior; 99=unknown,32218; 1673,56.9; 3.0,56.8830664383199,56639
occupation_of_gravidas_father_categorize,5236,1,Socioeconomic,8; 9,8=not ascertained; 9=unknown/not ascertained,32218; 1673,56.9; 3.0,56.8830664383199,56639
religion_for=religion,5347,1,Socioeconomic,8; 9,8=not ascertained; 9=unknown/not ascertained,32218; 800,56.9; 1.4,56.8830664383199,56639
difficulty_of_forceps_presentation,6078,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,32363; 1918,56.3; 3.3,56.3373661763426,57445
head_circumference_8_mo,5965,2,Growth/Anthropometric,99,99=unknown,24222,55.9,55.9283289847376,43309
length_body_8_mo,5979,2,Growth/Anthropometric,99,99=unknown,24206,55.9,55.8913851624374,43309
weight_8_mo,5971,4,Growth/Anthropometric,9999,9999=unknown,24152,55.8,55.7666997621741,43309
weight_8_mo_gms_weight_8_mo_=_grams_as_g,6179,5,Growth/Anthropometric,99999,99999=unknown,24152,55.8,55.7666997621741,43309
